Ano;Mes;Numero;
1998;Janeiro;0;
1999;Janeiro;1081;
2000;Janeiro;778;
2001;Janeiro;547;
2002;Janeiro;1654;
2003;Janeiro;5091;
2004;Janeiro;2705;
2005;Janeiro;4990;
2006;Janeiro;3255;
2007;Janeiro;3055;
2008;Janeiro;2125;
2009;Janeiro;2848;
2010;Janeiro;2851;
2011;Janeiro;1416;
2012;Janeiro;2491;
2013;Janeiro;2049;
2014;Janeiro;2634;
2015;Janeiro;4637;
2016;Janeiro;5983;
2017;Janeiro;2370;
1998;Fevereiro;0;
1999;Fevereiro;1284;
2000;Fevereiro;562;
2001;Fevereiro;1059;
2002;Fevereiro;1570;
2003;Fevereiro;2398;
2004;Fevereiro;1255;
2005;Fevereiro;2153;
2006;Fevereiro;1666;
2007;Fevereiro;1751;
2008;Fevereiro;1275;
2009;Fevereiro;1140;
2010;Fevereiro;2386;
2011;Fevereiro;973;
2012;Fevereiro;1436;
2013;Fevereiro;1591;
2014;Fevereiro;1548;
2015;Fevereiro;2311;
2016;Fevereiro;4148;
2017;Fevereiro;1400;
1998;Março;0;
1999;Março;667;
2000;Março;849;
2001;Março;1268;
2002;Março;1679;
2003;Março;2749;
2004;Março;2040;
2005;Março;1706;
2006;Março;1774;
2007;Março;2136;
2008;Março;1239;
2009;Março;1392;
2010;Março;2417;
2011;Março;937;
2012;Março;2058;
2013;Março;1969;
2014;Março;2225;
2015;Março;2204;
2016;Março;3799;
2017;Março;2017;
1998;Abril;0;
1999;Abril;717;
2000;Abril;538;
2001;Abril;1081;
2002;Abril;1682;
2003;Abril;2677;
2004;Abril;1335;
2005;Abril;1011;
2006;Abril;792;
2007;Abril;415;
2008;Abril;1253;
2009;Abril;1078;
2010;Abril;2200;
2011;Abril;1152;
2012;Abril;2194;
2013;Abril;1374;
2014;Abril;2360;
2015;Abril;2574;
2016;Abril;3977;
2017;Abril;1559;
1998;Maio;0;
1999;Maio;1812;
2000;Maio;2097;
2001;Maio;2090;
2002;Maio;3818;
2003;Maio;1747;
2004;Maio;3535;
2005;Maio;3210;
2006;Maio;808;
2007;Maio;1286;
2008;Maio;553;
2009;Maio;2593;
2010;Maio;3497;
2011;Maio;1985;
2012;Maio;3240;
2013;Maio;2166;
2014;Maio;3190;
2015;Maio;2386;
2016;Maio;3568;
2017;Maio;2505;
1998;Junho;3551;
1999;Junho;3632;
2000;Junho;6275;
2001;Junho;8433;
2002;Junho;10839;
2003;Junho;6506;
2004;Junho;14262;
2005;Junho;5811;
2006;Junho;1968;
2007;Junho;3956;
2008;Junho;1287;
2009;Junho;2962;
2010;Junho;3642;
2011;Junho;4578;
2012;Junho;5891;
2013;Junho;3898;
2014;Junho;6484;
2015;Junho;5810;
2016;Junho;6339;
2017;Junho;7491;
1998;Julho;8067;
1999;Julho;8758;
2000;Julho;4740;
2001;Julho;6490;
2002;Julho;13751;
2003;Julho;11804;
2004;Julho;23809;
2005;Julho;15663;
2006;Julho;5722;
2007;Julho;7808;
2008;Julho;4507;
2009;Julho;6599;
2010;Julho;16646;
2011;Julho;8524;
2012;Julho;13508;
2013;Julho;7313;
2014;Julho;10803;
2015;Julho;8755;
2016;Julho;19147;
2017;Julho;22911;
1998;Agosto;35551;
1999;Agosto;39487;
2000;Agosto;22204;
2001;Agosto;31887;
2002;Agosto;57151;
2003;Agosto;43736;
2004;Agosto;49325;
2005;Agosto;51981;
2006;Agosto;29443;
2007;Agosto;66837;
2008;Agosto;14528;
2009;Agosto;17559;
2010;Agosto;75305;
2011;Agosto;22477;
2012;Agosto;46289;
2013;Agosto;17789;
2014;Agosto;43023;
2015;Agosto;39459;
2016;Agosto;38317;
2017;Agosto;49485;
1998;Setembro;41974;
1999;Setembro;36914;
2000;Setembro;23293;
2001;Setembro;39834;
2002;Setembro;55803;
2003;Setembro;76325;
2004;Setembro;83500;
2005;Setembro;76257;
2006;Setembro;54827;
2007;Setembro;94526;
2008;Setembro;39445;
2009;Setembro;29430;
2010;Setembro;85415;
2011;Setembro;50302;
2012;Setembro;62099;
2013;Setembro;31588;
2014;Setembro;43174;
2015;Setembro;72100;
2016;Setembro;44060;
2017;Setembro;110988;
1998;Outubro;23498;
1999;Outubro;27014;
2000;Outubro;27337;
2001;Outubro;31038;
2002;Outubro;47722;
2003;Outubro;43295;
2004;Outubro;40331;
2005;Outubro;49876;
2006;Outubro;21854;
2007;Outubro;32312;
2008;Outubro;39264;
2009;Outubro;24202;
2010;Outubro;31489;
2011;Outubro;18691;
2012;Outubro;34221;
2013;Outubro;21325;
2014;Outubro;39323;
2015;Outubro;50004;
2016;Outubro;30210;
2017;Outubro;42720;
1998;Novembro;6804;
1999;Novembro;8861;
2000;Novembro;8399;
2001;Novembro;15639;
2002;Novembro;28179;
2003;Novembro;23572;
2004;Novembro;30763;
2005;Novembro;21752;
2006;Novembro;9754;
2007;Novembro;13095;
2008;Novembro;12778;
2009;Novembro;23914;
2010;Novembro;16587;
2011;Novembro;12222;
2012;Novembro;13587;
2013;Novembro;12152;
2014;Novembro;17990;
2015;Novembro;27531;
2016;Novembro;5034;
2017;Novembro;15759;
1998;Dezembro;4449;
1999;Dezembro;4376;
2000;Dezembro;4465;
2001;Dezembro;6201;
2002;Dezembro;11944;
2003;Dezembro;15342;
2004;Dezembro;17524;
2005;Dezembro;6354;
2006;Dezembro;5027;
2007;Dezembro;4075;
2008;Dezembro;4995;
2009;Dezembro;9494;
2010;Dezembro;6856;
2011;Dezembro;9830;
2012;Dezembro;6824;
2013;Dezembro;12006;
2014;Dezembro;10939;
2015;Dezembro;18600;
2016;Dezembro;8693;
