Ano	Estado	Mes	Numero	Periodo
1998	AC	Janeiro	0	01/01/1998
1999	AC	Janeiro	0	01/01/1999
2000	AC	Janeiro	0	01/01/2000
2001	AC	Janeiro	0	01/01/2001
2002	AC	Janeiro	0	01/01/2002
2003	AC	Janeiro	10	01/01/2003
2004	AC	Janeiro	0	01/01/2004
2005	AC	Janeiro	12	01/01/2005
2006	AC	Janeiro	4	01/01/2006
2007	AC	Janeiro	0	01/01/2007
2008	AC	Janeiro	0	01/01/2008
2009	AC	Janeiro	0	01/01/2009
2010	AC	Janeiro	1	01/01/2010
2011	AC	Janeiro	0	01/01/2011
2012	AC	Janeiro	0	01/01/2012
2013	AC	Janeiro	0	01/01/2013
2014	AC	Janeiro	0	01/01/2014
2015	AC	Janeiro	1	01/01/2015
2016	AC	Janeiro	12	01/01/2016
2017	AC	Janeiro	0	01/01/2017
1998	AC	Fevereiro	0	01/01/1998
1999	AC	Fevereiro	0	01/01/1999
2000	AC	Fevereiro	0	01/01/2000
2001	AC	Fevereiro	0	01/01/2001
2002	AC	Fevereiro	1	01/01/2002
2003	AC	Fevereiro	0	01/01/2003
2004	AC	Fevereiro	3	01/01/2004
2005	AC	Fevereiro	0	01/01/2005
2006	AC	Fevereiro	0	01/01/2006
2007	AC	Fevereiro	5	01/01/2007
2008	AC	Fevereiro	0	01/01/2008
2009	AC	Fevereiro	2	01/01/2009
2010	AC	Fevereiro	0	01/01/2010
2011	AC	Fevereiro	0	01/01/2011
2012	AC	Fevereiro	0	01/01/2012
2013	AC	Fevereiro	0	01/01/2013
2014	AC	Fevereiro	0	01/01/2014
2015	AC	Fevereiro	2	01/01/2015
2016	AC	Fevereiro	5	01/01/2016
2017	AC	Fevereiro	1	01/01/2017
1998	AC	Março	0	01/01/1998
1999	AC	Março	0	01/01/1999
2000	AC	Março	11	01/01/2000
2001	AC	Março	0	01/01/2001
2002	AC	Março	0	01/01/2002
2003	AC	Março	0	01/01/2003
2004	AC	Março	0	01/01/2004
2005	AC	Março	3	01/01/2005
2006	AC	Março	0	01/01/2006
2007	AC	Março	2	01/01/2007
2008	AC	Março	0	01/01/2008
2009	AC	Março	1	01/01/2009
2010	AC	Março	0	01/01/2010
2011	AC	Março	0	01/01/2011
2012	AC	Março	1	01/01/2012
2013	AC	Março	2	01/01/2013
2014	AC	Março	1	01/01/2014
2015	AC	Março	2	01/01/2015
2016	AC	Março	0	01/01/2016
2017	AC	Março	0	01/01/2017
1998	AC	Abril	0	01/01/1998
1999	AC	Abril	0	01/01/1999
2000	AC	Abril	1	01/01/2000
2001	AC	Abril	0	01/01/2001
2002	AC	Abril	0	01/01/2002
2003	AC	Abril	1	01/01/2003
2004	AC	Abril	2	01/01/2004
2005	AC	Abril	1	01/01/2005
2006	AC	Abril	0	01/01/2006
2007	AC	Abril	0	01/01/2007
2008	AC	Abril	0	01/01/2008
2009	AC	Abril	0	01/01/2009
2010	AC	Abril	3	01/01/2010
2011	AC	Abril	2	01/01/2011
2012	AC	Abril	1	01/01/2012
2013	AC	Abril	19	01/01/2013
2014	AC	Abril	7	01/01/2014
2015	AC	Abril	3	01/01/2015
2016	AC	Abril	0	01/01/2016
2017	AC	Abril	1	01/01/2017
1998	AC	Maio	0	01/01/1998
1999	AC	Maio	0	01/01/1999
2000	AC	Maio	1	01/01/2000
2001	AC	Maio	0	01/01/2001
2002	AC	Maio	0	01/01/2002
2003	AC	Maio	6	01/01/2003
2004	AC	Maio	7	01/01/2004
2005	AC	Maio	2	01/01/2005
2006	AC	Maio	8	01/01/2006
2007	AC	Maio	1	01/01/2007
2008	AC	Maio	0	01/01/2008
2009	AC	Maio	3	01/01/2009
2010	AC	Maio	9	01/01/2010
2011	AC	Maio	3	01/01/2011
2012	AC	Maio	3	01/01/2012
2013	AC	Maio	4	01/01/2013
2014	AC	Maio	1	01/01/2014
2015	AC	Maio	2	01/01/2015
2016	AC	Maio	21	01/01/2016
2017	AC	Maio	10	01/01/2017
1998	AC	Junho	3	01/01/1998
1999	AC	Junho	0	01/01/1999
2000	AC	Junho	1	01/01/2000
2001	AC	Junho	1	01/01/2001
2002	AC	Junho	0	01/01/2002
2003	AC	Junho	0	01/01/2003
2004	AC	Junho	5	01/01/2004
2005	AC	Junho	27	01/01/2005
2006	AC	Junho	1	01/01/2006
2007	AC	Junho	4	01/01/2007
2008	AC	Junho	0	01/01/2008
2009	AC	Junho	0	01/01/2009
2010	AC	Junho	1	01/01/2010
2011	AC	Junho	10	01/01/2011
2012	AC	Junho	7	01/01/2012
2013	AC	Junho	8	01/01/2013
2014	AC	Junho	17	01/01/2014
2015	AC	Junho	40	01/01/2015
2016	AC	Junho	87	01/01/2016
2017	AC	Junho	45	01/01/2017
1998	AC	Julho	37	01/01/1998
1999	AC	Julho	1	01/01/1999
2000	AC	Julho	1	01/01/2000
2001	AC	Julho	3	01/01/2001
2002	AC	Julho	39	01/01/2002
2003	AC	Julho	168	01/01/2003
2004	AC	Julho	42	01/01/2004
2005	AC	Julho	368	01/01/2005
2006	AC	Julho	33	01/01/2006
2007	AC	Julho	29	01/01/2007
2008	AC	Julho	41	01/01/2008
2009	AC	Julho	31	01/01/2009
2010	AC	Julho	126	01/01/2010
2011	AC	Julho	93	01/01/2011
2012	AC	Julho	71	01/01/2012
2013	AC	Julho	54	01/01/2013
2014	AC	Julho	60	01/01/2014
2015	AC	Julho	109	01/01/2015
2016	AC	Julho	533	01/01/2016
2017	AC	Julho	457	01/01/2017
1998	AC	Agosto	130	01/01/1998
1999	AC	Agosto	63	01/01/1999
2000	AC	Agosto	136	01/01/2000
2001	AC	Agosto	396	01/01/2001
2002	AC	Agosto	728	01/01/2002
2003	AC	Agosto	1.976	01/01/2003
2004	AC	Agosto	645	01/01/2004
2005	AC	Agosto	4.198	01/01/2005
2006	AC	Agosto	839	01/01/2006
2007	AC	Agosto	960	01/01/2007
2008	AC	Agosto	445	01/01/2008
2009	AC	Agosto	194	01/01/2009
2010	AC	Agosto	1.682	01/01/2010
2011	AC	Agosto	425	01/01/2011
2012	AC	Agosto	739	01/01/2012
2013	AC	Agosto	679	01/01/2013
2014	AC	Agosto	1.100	01/01/2014
2015	AC	Agosto	1.397	01/01/2015
2016	AC	Agosto	2.188	01/01/2016
2017	AC	Agosto	1.493	01/01/2017
1998	AC	Setembro	509	01/01/1998
1999	AC	Setembro	209	01/01/1999
2000	AC	Setembro	265	01/01/2000
2001	AC	Setembro	290	01/01/2001
2002	AC	Setembro	1.949	01/01/2002
2003	AC	Setembro	3.942	01/01/2003
2004	AC	Setembro	1.978	01/01/2004
2005	AC	Setembro	4.253	01/01/2005
2006	AC	Setembro	2.370	01/01/2006
2007	AC	Setembro	2.080	01/01/2007
2008	AC	Setembro	1.666	01/01/2008
2009	AC	Setembro	1.265	01/01/2009
2010	AC	Setembro	2.531	01/01/2010
2011	AC	Setembro	1.204	01/01/2011
2012	AC	Setembro	1.996	01/01/2012
2013	AC	Setembro	2.136	01/01/2013
2014	AC	Setembro	2.175	01/01/2014
2015	AC	Setembro	2.928	01/01/2015
2016	AC	Setembro	3.586	01/01/2016
2017	AC	Setembro	3.429	01/01/2017
1998	AC	Outubro	44	01/01/1998
1999	AC	Outubro	60	01/01/1999
2000	AC	Outubro	18	01/01/2000
2001	AC	Outubro	137	01/01/2001
2002	AC	Outubro	687	01/01/2002
2003	AC	Outubro	740	01/01/2003
2004	AC	Outubro	461	01/01/2004
2005	AC	Outubro	547	01/01/2005
2006	AC	Outubro	316	01/01/2006
2007	AC	Outubro	203	01/01/2007
2008	AC	Outubro	652	01/01/2008
2009	AC	Outubro	565	01/01/2009
2010	AC	Outubro	292	01/01/2010
2011	AC	Outubro	97	01/01/2011
2012	AC	Outubro	348	01/01/2012
2013	AC	Outubro	258	01/01/2013
2014	AC	Outubro	406	01/01/2014
2015	AC	Outubro	905	01/01/2015
2016	AC	Outubro	509	01/01/2016
2017	AC	Outubro	1.508	01/01/2017
1998	AC	Novembro	0	01/01/1998
1999	AC	Novembro	0	01/01/1999
2000	AC	Novembro	0	01/01/2000
2001	AC	Novembro	1	01/01/2001
2002	AC	Novembro	86	01/01/2002
2003	AC	Novembro	15	01/01/2003
2004	AC	Novembro	10	01/01/2004
2005	AC	Novembro	14	01/01/2005
2006	AC	Novembro	18	01/01/2006
2007	AC	Novembro	7	01/01/2007
2008	AC	Novembro	4	01/01/2008
2009	AC	Novembro	33	01/01/2009
2010	AC	Novembro	39	01/01/2010
2011	AC	Novembro	74	01/01/2011
2012	AC	Novembro	13	01/01/2012
2013	AC	Novembro	79	01/01/2013
2014	AC	Novembro	56	01/01/2014
2015	AC	Novembro	115	01/01/2015
2016	AC	Novembro	46	01/01/2016
2017	AC	Novembro	98	01/01/2017
1998	AC	Dezembro	7	01/01/1998
1999	AC	Dezembro	0	01/01/1999
2000	AC	Dezembro	0	01/01/2000
2001	AC	Dezembro	0	01/01/2001
2002	AC	Dezembro	1	01/01/2002
2003	AC	Dezembro	1	01/01/2003
2004	AC	Dezembro	7	01/01/2004
2005	AC	Dezembro	2	01/01/2005
2006	AC	Dezembro	0	01/01/2006
2007	AC	Dezembro	0	01/01/2007
2008	AC	Dezembro	0	01/01/2008
2009	AC	Dezembro	1	01/01/2009
2010	AC	Dezembro	0	01/01/2010
2011	AC	Dezembro	4	01/01/2011
2012	AC	Dezembro	1	01/01/2012
2013	AC	Dezembro	3	01/01/2013
2014	AC	Dezembro	6	01/01/2014
2015	AC	Dezembro	8	01/01/2015
2016	AC	Dezembro	6	01/01/2016
1998	AL	Janeiro	0	01/01/1998
1999	AL	Janeiro	58	01/01/1999
2000	AL	Janeiro	11	01/01/2000
2001	AL	Janeiro	5	01/01/2001
2002	AL	Janeiro	12	01/01/2002
2003	AL	Janeiro	150	01/01/2003
2004	AL	Janeiro	9	01/01/2004
2005	AL	Janeiro	83	01/01/2005
2006	AL	Janeiro	29	01/01/2006
2007	AL	Janeiro	33	01/01/2007
2008	AL	Janeiro	55	01/01/2008
2009	AL	Janeiro	104	01/01/2009
2010	AL	Janeiro	23	01/01/2010
2011	AL	Janeiro	41	01/01/2011
2012	AL	Janeiro	36	01/01/2012
2013	AL	Janeiro	49	01/01/2013
2014	AL	Janeiro	54	01/01/2014
2015	AL	Janeiro	81	01/01/2015
2016	AL	Janeiro	24	01/01/2016
2017	AL	Janeiro	38	01/01/2017
2017	AL	Janeiro	38	01/01/2017
1998	AL	Fevereiro	0	01/01/1998
1999	AL	Fevereiro	20	01/01/1999
2000	AL	Fevereiro	16	01/01/2000
2001	AL	Fevereiro	4	01/01/2001
2002	AL	Fevereiro	15	01/01/2002
2003	AL	Fevereiro	33	01/01/2003
2004	AL	Fevereiro	7	01/01/2004
2005	AL	Fevereiro	31	01/01/2005
2006	AL	Fevereiro	14	01/01/2006
2007	AL	Fevereiro	28	01/01/2007
2008	AL	Fevereiro	74	01/01/2008
2009	AL	Fevereiro	32	01/01/2009
2010	AL	Fevereiro	26	01/01/2010
2011	AL	Fevereiro	33	01/01/2011
2012	AL	Fevereiro	41	01/01/2012
2013	AL	Fevereiro	19	01/01/2013
2014	AL	Fevereiro	29	01/01/2014
2015	AL	Fevereiro	46	01/01/2015
2016	AL	Fevereiro	14	01/01/2016
2017	AL	Fevereiro	21	01/01/2017
1998	AL	Março	0	01/01/1998
1999	AL	Março	52	01/01/1999
2000	AL	Março	32	01/01/2000
2001	AL	Março	0	01/01/2001
2002	AL	Março	27	01/01/2002
2003	AL	Março	15	01/01/2003
2004	AL	Março	16	01/01/2004
2005	AL	Março	35	01/01/2005
2006	AL	Março	37	01/01/2006
2007	AL	Março	7	01/01/2007
2008	AL	Março	31	01/01/2008
2009	AL	Março	31	01/01/2009
2010	AL	Março	70	01/01/2010
2011	AL	Março	34	01/01/2011
2012	AL	Março	44	01/01/2012
2013	AL	Março	31	01/01/2013
2014	AL	Março	28	01/01/2014
2015	AL	Março	32	01/01/2015
2016	AL	Março	9	01/01/2016
2017	AL	Março	23	01/01/2017
1998	AL	Abril	0	01/01/1998
1999	AL	Abril	4	01/01/1999
2000	AL	Abril	20	01/01/2000
2001	AL	Abril	0	01/01/2001
2002	AL	Abril	6	01/01/2002
2003	AL	Abril	20	01/01/2003
2004	AL	Abril	6	01/01/2004
2005	AL	Abril	1	01/01/2005
2006	AL	Abril	2	01/01/2006
2007	AL	Abril	1	01/01/2007
2008	AL	Abril	18	01/01/2008
2009	AL	Abril	5	01/01/2009
2010	AL	Abril	3	01/01/2010
2011	AL	Abril	17	01/01/2011
2012	AL	Abril	18	01/01/2012
2013	AL	Abril	25	01/01/2013
2014	AL	Abril	16	01/01/2014
2015	AL	Abril	63	01/01/2015
2016	AL	Abril	13	01/01/2016
2017	AL	Abril	7	01/01/2017
1998	AL	Maio	0	01/01/1998
1999	AL	Maio	1	01/01/1999
2000	AL	Maio	1	01/01/2000
2001	AL	Maio	2	01/01/2001
2002	AL	Maio	1	01/01/2002
2003	AL	Maio	1	01/01/2003
2004	AL	Maio	3	01/01/2004
2005	AL	Maio	0	01/01/2005
2006	AL	Maio	0	01/01/2006
2007	AL	Maio	0	01/01/2007
2008	AL	Maio	0	01/01/2008
2009	AL	Maio	0	01/01/2009
2010	AL	Maio	0	01/01/2010
2011	AL	Maio	0	01/01/2011
2012	AL	Maio	21	01/01/2012
2013	AL	Maio	2	01/01/2013
2014	AL	Maio	1	01/01/2014
2015	AL	Maio	18	01/01/2015
2016	AL	Maio	4	01/01/2016
2017	AL	Maio	1	01/01/2017
1998	AL	Junho	0	01/01/1998
1999	AL	Junho	0	01/01/1999
2000	AL	Junho	0	01/01/2000
2001	AL	Junho	2	01/01/2001
2002	AL	Junho	0	01/01/2002
2003	AL	Junho	0	01/01/2003
2004	AL	Junho	0	01/01/2004
2005	AL	Junho	0	01/01/2005
2006	AL	Junho	0	01/01/2006
2007	AL	Junho	0	01/01/2007
2008	AL	Junho	0	01/01/2008
2009	AL	Junho	0	01/01/2009
2010	AL	Junho	0	01/01/2010
2011	AL	Junho	2	01/01/2011
2012	AL	Junho	4	01/01/2012
2013	AL	Junho	1	01/01/2013
2014	AL	Junho	2	01/01/2014
2015	AL	Junho	2	01/01/2015
2016	AL	Junho	5	01/01/2016
2017	AL	Junho	2	01/01/2017
1998	AL	Julho	0	01/01/1998
1999	AL	Julho	0	01/01/1999
2000	AL	Julho	0	01/01/2000
2001	AL	Julho	0	01/01/2001
2002	AL	Julho	5	01/01/2002
2003	AL	Julho	0	01/01/2003
2004	AL	Julho	0	01/01/2004
2005	AL	Julho	0	01/01/2005
2006	AL	Julho	0	01/01/2006
2007	AL	Julho	0	01/01/2007
2008	AL	Julho	0	01/01/2008
2009	AL	Julho	0	01/01/2009
2010	AL	Julho	2	01/01/2010
2011	AL	Julho	0	01/01/2011
2012	AL	Julho	0	01/01/2012
2013	AL	Julho	0	01/01/2013
2014	AL	Julho	1	01/01/2014
2015	AL	Julho	0	01/01/2015
2016	AL	Julho	3	01/01/2016
2017	AL	Julho	0	01/01/2017
1998	AL	Agosto	1	01/01/1998
1999	AL	Agosto	3	01/01/1999
2000	AL	Agosto	4	01/01/2000
2001	AL	Agosto	1	01/01/2001
2002	AL	Agosto	3	01/01/2002
2003	AL	Agosto	2	01/01/2003
2004	AL	Agosto	2	01/01/2004
2005	AL	Agosto	2	01/01/2005
2006	AL	Agosto	1	01/01/2006
2007	AL	Agosto	3	01/01/2007
2008	AL	Agosto	1	01/01/2008
2009	AL	Agosto	0	01/01/2009
2010	AL	Agosto	1	01/01/2010
2011	AL	Agosto	4	01/01/2011
2012	AL	Agosto	0	01/01/2012
2013	AL	Agosto	0	01/01/2013
2014	AL	Agosto	3	01/01/2014
2015	AL	Agosto	3	01/01/2015
2016	AL	Agosto	5	01/01/2016
2017	AL	Agosto	1	01/01/2017
1998	AL	Setembro	14	01/01/1998
1999	AL	Setembro	3	01/01/1999
2000	AL	Setembro	22	01/01/2000
2001	AL	Setembro	5	01/01/2001
2002	AL	Setembro	14	01/01/2002
2003	AL	Setembro	8	01/01/2003
2004	AL	Setembro	5	01/01/2004
2005	AL	Setembro	7	01/01/2005
2006	AL	Setembro	4	01/01/2006
2007	AL	Setembro	2	01/01/2007
2008	AL	Setembro	9	01/01/2008
2009	AL	Setembro	13	01/01/2009
2010	AL	Setembro	5	01/01/2010
2011	AL	Setembro	5	01/01/2011
2012	AL	Setembro	6	01/01/2012
2013	AL	Setembro	4	01/01/2013
2014	AL	Setembro	11	01/01/2014
2015	AL	Setembro	7	01/01/2015
2016	AL	Setembro	18	01/01/2016
2017	AL	Setembro	4	01/01/2017
1998	AL	Outubro	20	01/01/1998
1999	AL	Outubro	4	01/01/1999
2000	AL	Outubro	13	01/01/2000
2001	AL	Outubro	15	01/01/2001
2002	AL	Outubro	30	01/01/2002
2003	AL	Outubro	10	01/01/2003
2004	AL	Outubro	12	01/01/2004
2005	AL	Outubro	17	01/01/2005
2006	AL	Outubro	32	01/01/2006
2007	AL	Outubro	6	01/01/2007
2008	AL	Outubro	18	01/01/2008
2009	AL	Outubro	30	01/01/2009
2010	AL	Outubro	16	01/01/2010
2011	AL	Outubro	23	01/01/2011
2012	AL	Outubro	28	01/01/2012
2013	AL	Outubro	25	01/01/2013
2014	AL	Outubro	7	01/01/2014
2015	AL	Outubro	40	01/01/2015
2016	AL	Outubro	74	01/01/2016
2017	AL	Outubro	14	01/01/2017
1998	AL	Novembro	19	01/01/1998
1999	AL	Novembro	15	01/01/1999
2000	AL	Novembro	2	01/01/2000
2001	AL	Novembro	22	01/01/2001
2002	AL	Novembro	50	01/01/2002
2003	AL	Novembro	17	01/01/2003
2004	AL	Novembro	28	01/01/2004
2005	AL	Novembro	25	01/01/2005
2006	AL	Novembro	12	01/01/2006
2007	AL	Novembro	15	01/01/2007
2008	AL	Novembro	37	01/01/2008
2009	AL	Novembro	55	01/01/2009
2010	AL	Novembro	31	01/01/2010
2011	AL	Novembro	23	01/01/2011
2012	AL	Novembro	95	01/01/2012
2013	AL	Novembro	10	01/01/2013
2014	AL	Novembro	14	01/01/2014
2015	AL	Novembro	162	01/01/2015
2016	AL	Novembro	76	01/01/2016
2017	AL	Novembro	10	01/01/2017
1998	AL	Dezembro	32	01/01/1998
1999	AL	Dezembro	12	01/01/1999
2000	AL	Dezembro	2	01/01/2000
2001	AL	Dezembro	30	01/01/2001
2002	AL	Dezembro	95	01/01/2002
2003	AL	Dezembro	43	01/01/2003
2004	AL	Dezembro	71	01/01/2004
2005	AL	Dezembro	16	01/01/2005
2006	AL	Dezembro	30	01/01/2006
2007	AL	Dezembro	33	01/01/2007
2008	AL	Dezembro	34	01/01/2008
2009	AL	Dezembro	55	01/01/2009
2010	AL	Dezembro	45	01/01/2010
2011	AL	Dezembro	50	01/01/2011
2012	AL	Dezembro	59	01/01/2012
2013	AL	Dezembro	42	01/01/2013
2014	AL	Dezembro	24	01/01/2014
2015	AL	Dezembro	136	01/01/2015
2016	AL	Dezembro	155	01/01/2016
1998	AP	Janeiro	0	01/01/1998
1999	AP	Janeiro	0	01/01/1999
2000	AP	Janeiro	2	01/01/2000
2001	AP	Janeiro	0	01/01/2001
2002	AP	Janeiro	7	01/01/2002
2003	AP	Janeiro	31	01/01/2003
2004	AP	Janeiro	38	01/01/2004
2005	AP	Janeiro	109	01/01/2005
2006	AP	Janeiro	6	01/01/2006
2007	AP	Janeiro	0	01/01/2007
2008	AP	Janeiro	2	01/01/2008
2009	AP	Janeiro	4	01/01/2009
2010	AP	Janeiro	2	01/01/2010
2011	AP	Janeiro	0	01/01/2011
2012	AP	Janeiro	30	01/01/2012
2013	AP	Janeiro	3	01/01/2013
2014	AP	Janeiro	10	01/01/2014
2015	AP	Janeiro	14	01/01/2015
2016	AP	Janeiro	19	01/01/2016
2017	AP	Janeiro	2	01/01/2017
1998	AP	Fevereiro	0	01/01/1998
1999	AP	Fevereiro	1	01/01/1999
2000	AP	Fevereiro	0	01/01/2000
2001	AP	Fevereiro	0	01/01/2001
2002	AP	Fevereiro	2	01/01/2002
2003	AP	Fevereiro	0	01/01/2003
2004	AP	Fevereiro	2	01/01/2004
2005	AP	Fevereiro	1	01/01/2005
2006	AP	Fevereiro	2	01/01/2006
2007	AP	Fevereiro	0	01/01/2007
2008	AP	Fevereiro	0	01/01/2008
2009	AP	Fevereiro	0	01/01/2009
2010	AP	Fevereiro	0	01/01/2010
2011	AP	Fevereiro	3	01/01/2011
2012	AP	Fevereiro	5	01/01/2012
2013	AP	Fevereiro	0	01/01/2013
2014	AP	Fevereiro	2	01/01/2014
2015	AP	Fevereiro	1	01/01/2015
2016	AP	Fevereiro	1	01/01/2016
2017	AP	Fevereiro	0	01/01/2017
1998	AP	Março	0	01/01/1998
1999	AP	Março	2	01/01/1999
2000	AP	Março	0	01/01/2000
2001	AP	Março	0	01/01/2001
2002	AP	Março	0	01/01/2002
2003	AP	Março	1	01/01/2003
2004	AP	Março	0	01/01/2004
2005	AP	Março	0	01/01/2005
2006	AP	Março	0	01/01/2006
2007	AP	Março	0	01/01/2007
2008	AP	Março	1	01/01/2008
2009	AP	Março	1	01/01/2009
2010	AP	Março	2	01/01/2010
2011	AP	Março	0	01/01/2011
2012	AP	Março	1	01/01/2012
2013	AP	Março	0	01/01/2013
2014	AP	Março	1	01/01/2014
2015	AP	Março	2	01/01/2015
2016	AP	Março	5	01/01/2016
2017	AP	Março	0	01/01/2017
1998	AP	Abril	0	01/01/1998
1999	AP	Abril	0	01/01/1999
2000	AP	Abril	0	01/01/2000
2001	AP	Abril	0	01/01/2001
2002	AP	Abril	0	01/01/2002
2003	AP	Abril	2	01/01/2003
2004	AP	Abril	0	01/01/2004
2005	AP	Abril	0	01/01/2005
2006	AP	Abril	0	01/01/2006
2007	AP	Abril	0	01/01/2007
2008	AP	Abril	2	01/01/2008
2009	AP	Abril	0	01/01/2009
2010	AP	Abril	2	01/01/2010
2011	AP	Abril	0	01/01/2011
2012	AP	Abril	2	01/01/2012
2013	AP	Abril	2	01/01/2013
2014	AP	Abril	0	01/01/2014
2015	AP	Abril	0	01/01/2015
2016	AP	Abril	0	01/01/2016
2017	AP	Abril	3	01/01/2017
1998	AP	Maio	0	01/01/1998
1999	AP	Maio	0	01/01/1999
2000	AP	Maio	0	01/01/2000
2001	AP	Maio	0	01/01/2001
2002	AP	Maio	3	01/01/2002
2003	AP	Maio	0	01/01/2003
2004	AP	Maio	0	01/01/2004
2005	AP	Maio	0	01/01/2005
2006	AP	Maio	0	01/01/2006
2007	AP	Maio	0	01/01/2007
2008	AP	Maio	0	01/01/2008
2009	AP	Maio	2	01/01/2009
2010	AP	Maio	2	01/01/2010
2011	AP	Maio	2	01/01/2011
2012	AP	Maio	2	01/01/2012
2013	AP	Maio	0	01/01/2013
2014	AP	Maio	0	01/01/2014
2015	AP	Maio	0	01/01/2015
2016	AP	Maio	1	01/01/2016
2017	AP	Maio	1	01/01/2017
1998	AP	Junho	0	01/01/1998
1999	AP	Junho	2	01/01/1999
2000	AP	Junho	0	01/01/2000
2001	AP	Junho	0	01/01/2001
2002	AP	Junho	0	01/01/2002
2003	AP	Junho	0	01/01/2003
2004	AP	Junho	5	01/01/2004
2005	AP	Junho	2	01/01/2005
2006	AP	Junho	0	01/01/2006
2007	AP	Junho	0	01/01/2007
2008	AP	Junho	0	01/01/2008
2009	AP	Junho	1	01/01/2009
2010	AP	Junho	0	01/01/2010
2011	AP	Junho	0	01/01/2011
2012	AP	Junho	7	01/01/2012
2013	AP	Junho	1	01/01/2013
2014	AP	Junho	0	01/01/2014
2015	AP	Junho	3	01/01/2015
2016	AP	Junho	2	01/01/2016
2017	AP	Junho	2	01/01/2017
1998	AP	Julho	0	01/01/1998
1999	AP	Julho	0	01/01/1999
2000	AP	Julho	0	01/01/2000
2001	AP	Julho	1	01/01/2001
2002	AP	Julho	1	01/01/2002
2003	AP	Julho	0	01/01/2003
2004	AP	Julho	2	01/01/2004
2005	AP	Julho	0	01/01/2005
2006	AP	Julho	0	01/01/2006
2007	AP	Julho	0	01/01/2007
2008	AP	Julho	0	01/01/2008
2009	AP	Julho	4	01/01/2009
2010	AP	Julho	2	01/01/2010
2011	AP	Julho	5	01/01/2011
2012	AP	Julho	3	01/01/2012
2013	AP	Julho	1	01/01/2013
2014	AP	Julho	4	01/01/2014
2015	AP	Julho	5	01/01/2015
2016	AP	Julho	1	01/01/2016
2017	AP	Julho	3	01/01/2017
1998	AP	Agosto	1	01/01/1998
1999	AP	Agosto	0	01/01/1999
2000	AP	Agosto	3	01/01/2000
2001	AP	Agosto	12	01/01/2001
2002	AP	Agosto	18	01/01/2002
2003	AP	Agosto	14	01/01/2003
2004	AP	Agosto	9	01/01/2004
2005	AP	Agosto	4	01/01/2005
2006	AP	Agosto	11	01/01/2006
2007	AP	Agosto	5	01/01/2007
2008	AP	Agosto	4	01/01/2008
2009	AP	Agosto	20	01/01/2009
2010	AP	Agosto	1	01/01/2010
2011	AP	Agosto	16	01/01/2011
2012	AP	Agosto	19	01/01/2012
2013	AP	Agosto	9	01/01/2013
2014	AP	Agosto	18	01/01/2014
2015	AP	Agosto	40	01/01/2015
2016	AP	Agosto	37	01/01/2016
2017	AP	Agosto	33	01/01/2017
1998	AP	Setembro	20	01/01/1998
1999	AP	Setembro	4	01/01/1999
2000	AP	Setembro	19	01/01/2000
2001	AP	Setembro	95	01/01/2001
2002	AP	Setembro	73	01/01/2002
2003	AP	Setembro	88	01/01/2003
2004	AP	Setembro	67	01/01/2004
2005	AP	Setembro	97	01/01/2005
2006	AP	Setembro	112	01/01/2006
2007	AP	Setembro	61	01/01/2007
2008	AP	Setembro	83	01/01/2008
2009	AP	Setembro	188	01/01/2009
2010	AP	Setembro	63	01/01/2010
2011	AP	Setembro	128	01/01/2011
2012	AP	Setembro	168	01/01/2012
2013	AP	Setembro	85	01/01/2013
2014	AP	Setembro	137	01/01/2014
2015	AP	Setembro	192	01/01/2015
2016	AP	Setembro	142	01/01/2016
2017	AP	Setembro	95	01/01/2017
1998	AP	Outubro	42	01/01/1998
1999	AP	Outubro	25	01/01/1999
2000	AP	Outubro	42	01/01/2000
2001	AP	Outubro	194	01/01/2001
2002	AP	Outubro	557	01/01/2002
2003	AP	Outubro	355	01/01/2003
2004	AP	Outubro	412	01/01/2004
2005	AP	Outubro	335	01/01/2005
2006	AP	Outubro	405	01/01/2006
2007	AP	Outubro	162	01/01/2007
2008	AP	Outubro	395	01/01/2008
2009	AP	Outubro	765	01/01/2009
